layer,head,format,direct_content_attn,direct_format_attn,formatted_content_attn,formatted_format_attn,content_shift,format_shift,routing_divergence
17,7,system,,,,,,,
17,8,system,,,,,,,
17,9,system,,,,,,,
17,10,system,,,,,,,
17,11,system,,,,,,,
17,0,json,,,,,,,
17,1,json,,,,,,,
17,2,json,,,,,,,
17,3,json,,,,,,,
17,4,json,,,,,,,
17,5,json,,,,,,,
17,6,json,,,,,,,
17,7,json,,,,,,,
17,8,json,,,,,,,
17,9,json,,,,,,,
17,10,json,,,,,,,
17,11,json,,,,,,,
18,0,tool_call,,,,,,,
18,1,tool_call,,,,,,,
18,2,tool_call,,,,,,,
18,3,tool_call,,,,,,,
18,4,tool_call,,,,,,,
18,5,tool_call,,,,,,,
18,6,tool_call,,,,,,,
18,7,tool_call,,,,,,,
18,8,tool_call,,,,,,,
18,9,tool_call,,,,,,,
18,10,tool_call,,,,,,,
18,11,tool_call,,,,,,,
18,0,system,,,,,,,
18,1,system,,,,,,,
18,2,system,,,,,,,
18,3,system,,,,,,,
18,4,system,,,,,,,
18,5,system,,,,,,,
18,6,system,,,,,,,
18,7,system,,,,,,,
18,8,system,,,,,,,
18,9,system,,,,,,,
18,10,system,,,,,,,
18,11,system,,,,,,,
18,0,json,,,,,,,
18,1,json,,,,,,,
18,2,json,,,,,,,
18,3,json,,,,,,,
18,4,json,,,,,,,
18,5,json,,,,,,,
18,6,json,,,,,,,
18,7,json,,,,,,,
18,8,json,,,,,,,
18,9,json,,,,,,,
18,10,json,,,,,,,
18,11,json,,,,,,,
19,0,tool_call,,,,,,,
19,1,tool_call,,,,,,,
19,2,tool_call,,,,,,,
19,3,tool_call,,,,,,,
19,4,tool_call,,,,,,,
19,5,tool_call,,,,,,,
19,6,tool_call,,,,,,,
19,7,tool_call,,,,,,,
19,8,tool_call,,,,,,,
19,9,tool_call,,,,,,,
19,10,tool_call,,,,,,,
19,11,tool_call,,,,,,,
19,0,system,,,,,,,
19,1,system,,,,,,,
19,2,system,,,,,,,
19,3,system,,,,,,,
19,4,system,,,,,,,
19,5,system,,,,,,,
19,6,system,,,,,,,
19,7,system,,,,,,,
19,8,system,,,,,,,
19,9,system,,,,,,,
19,10,system,,,,,,,
19,11,system,,,,,,,
19,0,json,,,,,,,
19,1,json,,,,,,,
19,2,json,,,,,,,
19,3,json,,,,,,,
19,4,json,,,,,,,
19,5,json,,,,,,,
19,6,json,,,,,,,
19,7,json,,,,,,,
19,8,json,,,,,,,
19,9,json,,,,,,,
19,10,json,,,,,,,
19,11,json,,,,,,,
20,0,tool_call,,,,,,,
20,1,tool_call,,,,,,,
20,2,tool_call,,,,,,,
20,3,tool_call,,,,,,,
20,4,tool_call,,,,,,,
20,5,tool_call,,,,,,,
20,6,tool_call,,,,,,,
20,7,tool_call,,,,,,,
20,8,tool_call,,,,,,,
20,9,tool_call,,,,,,,
20,10,tool_call,,,,,,,
